first_name,last_name,pronouns,email,teacher
Katie,Kennedy,she/hers,holmstedtk@gmail.com,true
Marcella,Lehner,they/theirs,glennis.koch@ricezulauf.org,false
Kara,Lockman,they/theirs,von_king@manteokeefe.biz,false
Minnie,Nikolaus,she/hers,lin_bradtke@kutch.com,true
Shela,Langworth,he/his,floyd.daniel@ullrich.org,false
Vicenta,Halvorson,he/his,senaida@hansen.co,false
Taryn,Stiedemann,she/hers,maya@dietrich.net,false
Nicolasa,Kessler,he/his,jordon@kirlintremblay.info,false
Otis,Braun,she/hers,krysten.bogisich@wisoky.name,false
Margaretta,Denesik,he/his,chester_larkin@ohara.net,true
Fairy,Kunde,they/theirs,val@gutkowski.org,false
Nereida,Lueilwitz,he/his,maire_zieme@schroeder.com,false
Tanisha,Jakubowski,he/his,anderson.ondricka@walsh.info,false
Danial,Goodwin,they/theirs,chad@funk.co,false
Florentino,Boyer,she/hers,jan@huel.io,false
Andres,Kohler,they/theirs,leon@kling.io,false
Shane,Brekke,they/theirs,todd.kunze@cronaschaefer.info,false
Amos,Blanda,he/his,kamala.beatty@harber.net,false
Chris,Spencer,she/hers,errol_marquardt@mraz.com,false
Davis,Skiles,she/hers,candida.ledner@mcglynnbradtke.name,false
Scottie,Langworth,they/theirs,florentino_wisozk@wisozk.com,false
Toney,Kilback,he/his,leif.nader@breitenbergturner.net,false
Angelo,Frami,he/his,jeremy.cremin@leuschke.io,true
Leota,Mann,he/his,kennith@uptondavis.co,false
Dario,Reichel,they/theirs,rosie.stokes@shanahan.biz,false
Jaime,Haag,she/hers,belia.herman@nader.com,false
Kenneth,Champlin,they/theirs,linwood.crist@torpwyman.org,false
Jim,Waters,she/hers,dwayne@towne.biz,false
Hugo,Gaylord,he/his,reva_mills@lynchbartoletti.org,false
Archie,Sawayn,she/hers,opal.rohan@haag.biz,false
Oscar,Bauch,he/his,elmira@welch.net,false
Antony,Gislason,he/his,wai@volkman.io,false
Hoyt,Tromp,he/his,clinton.sporer@mante.biz,false
Emmitt,Crooks,they/theirs,blair@lebsackullrich.co,false
Georgeann,Labadie,they/theirs,omer.kuvalis@green.com,false
Lauretta,Koepp,she/hers,lemuel@weber.co,false
Rupert,Becker,he/his,cleo_runolfon@kerluke.name,false
Ariel,Hackett,they/theirs,shani@macejkovic.org,false
Penni,Walker,he/his,denver_willms@sauer.org,false
Hung,Durgan,she/hers,francesco@ankundinggoyette.name,false
Darrick,Gutkowski,she/hers,morris@berge.co,false
Claretta,Schaefer,they/theirs,luanna@littel.org,false
Newton,Kertzmann,they/theirs,eddie@waterswillms.co,false
Suzann,Wilkinson,he/his,cami@walter.io,false
Vera,Dietrich,she/hers,emile.ko@hammes.org,false
Guadalupe,Shanahan,they/theirs,burton.reynolds@quitzon.co,false
Troy,Quigley,she/hers,herta@howell.com,false
Elsy,Batz,he/his,zachary_strosin@erdman.net,true
Jude,Fritsch,he/his,reid.ankunding@wuckert.net,false
Milo,Kuhlman,they/theirs,nigel.collier@pfannerstill.biz,true
Chang,Wuckert,she/hers,glenna@huels.info,false
